avganncount,incidencerate,medincome,popest2015,povertypercent,studypercap,medianage,percentmarried,pctpubliccoveragealone,pctmarriedhouseholds,birthrate
4568,440.7,47069,1288126,18.2,271.7125499,34.4,42.8,17.6,43.90160228,4.907650931
1081,407.5,42945,323993,19.3,33.9513508,35.7,46.4,23.1,51.46743486,5.718663568
8287,422.3,52225,1422789,14.9,151.1116546,44.1,46.9,19.5,45.4432712,5.134424767
3154,470.7,45219,497909,14.7,62.26037288,44.4,51.1,21,50.5624792,4.73813501
5978,430.8,45162,949827,15.2,184.2440781,47.1,44.2,20,40.13853119,4.507693163
3846,490.2,42768,650092,18.1,66.14448417,40.3,48.3,24.1,50.30287152,5.501541209
505,488.3,32054,72023,28.5,97.19117504,44.1,44.9,28.5,43.61160279,4.330954196
1072,441.8,66560,226640,8.2,30.88598659,42.7,55.4,11.9,57.17801166,3.253269113
1630,414.6,42722,298563,17.3,110.529436,43.9,49.1,24.5,49.87210143,5.736951023
3400,466.5,44852,660367,19.5,284.6901799,37.4,43.9,18.7,41.80064309,5.582491665
708,426.5,58587,167040,11.2,0,39.5,54.8,14.6,58.13925734,5.465692312
3000,410.8,52109,405549,10.8,199.7292559,54,53.5,17.2,49.33984074,3.94772339
1940,427.8,56443,449144,11.8,22.26457439,39.1,46.6,15,50.37632996,4.236255854
1067,444.5,51907,118891,10.9,84.11065598,65.3,62.6,21.8,61.94550261,6.766413577
240,421.4,38177,43760,23.7,0,41.6,47.7,27.4,49.34500607,3.38904364
120,425.5,36374,22493,23.4,0,41.2,43.5,20.6,48.84944116,8.854568855
214,1206.9,40207,15234,24.3,0,40.3,36.4,22.5,50.01287664,3.739774055
3119,422.4,40881,517887,17.7,96.54615775,46.3,46.4,20.2,46.00309721,4.314909294
143,456.7,51642,31535,15.1,0,40,46,17.7,49.25638387,2.534634761
570,499.8,68421,133378,7.7,0,35.7,55.1,11.6,58.40512737,5.36432284
266,472,44402,48689,16.5,20.53851999,38.6,49.9,20.7,49.10729277,5.886681383
222,438.1,38027,48447,20.6,0,34.8,46,22,47.64763538,5.833404093
91,445.2,29652,14997,26.8,0,41.8,46.5,26.4,43.83862255,6.960408685
17,456.9,41800,2216,18,0,44.6,60.9,20.5,52.40904621,2.195121951
1083,458.4,58205,274458,12.6,29.14835785,33.2,49.1,12.4,50.03827713,4.927709813
29,372,36566,5651,20.9,0,42.3,52.6,22.3,49.43181818,4.588744589
473,430.1,46071,124648,18.6,216.6099737,31.8,45.7,16.5,46.07076781,6.253896381
30,376.6,41469,5996,17.8,0,41.5,58.9,21,55.70193495,5.31996916
91,471.1,36953,14818,19.2,0,42.3,49,18.8,51.01513474,6.007301693
420,495.5,46614,70892,15.8,28.211928,40.6,54.5,21.3,54.45351855,5.479185579
124,436.7,45574,29744,15.9,0,30.7,50,13.4,50.28946353,5.712260808
241,408.4,36424,41459,18.8,0,45.8,55,23.5,52.93762454,4.550418639
31,451.5,50348,4995,12.4,0,41.5,59.1,19.1,59.69746083,2.164502165
24,415.5,52032,4231,12,0,44.3,59.3,18,54.9122807,5.277044855
322,449.4,49136,63569,14.5,251.6950086,36.2,55.7,18.7,53.62409659,7.18973747
173,496.9,40774,27755,19.2,0,39.5,53,17.9,51.41961827,6.713239053
244,416.7,51199,54648,12.1,18.29893134,38.5,56.4,17,57.50165909,4.518903132
30,445.9,49774,4523,12.3,0,44.2,60.7,13.7,53.55691057,5.275498242
35,442.7,34872,6070,25.2,0,41.3,45,16.4,48.9021043,9.857723577
15,419.5,33750,2788,24.8,0,41.1,57.6,23.8,52.55536627,4.99194847
22,466.5,49204,3754,10.6,0,39,57.2,17.7,57.54847645,4.274611399
74,452.5,35313,12845,24.5,0,40,54.6,25,51.62145625,5.772811918
92,508.2,34837,13735,23.4,0,40.2,45.5,23.3,51.41445891,4.598628479
124,448.8,41370,25574,17.2,0,34.1,51.9,18.3,47.83757339,6.363038474
42,470.4,32645,6276,23,0,42.4,52.4,26,48.88709025,6.331168831
57,415.2,35977,10980,20.1,0,40.6,49,26.6,46.75792507,5.684647303
269,460.6,41514,45366,18.2,0,38.8,49.3,21.4,46.08887662,6.042169307
81,465.5,59525,15584,10,0,38.6,60.6,15,58.66573768,5.947846469
62,491.5,36699,9144,19.1,0,43,54.1,22.7,47.72784971,3.922594142
54,374.7,35522,10483,20.7,0,39.3,54.8,20,53.76058041,7.799915218
219,362.3,36627,49605,24,0,39.7,52.6,23.7,52.40585774,5.913091309
162,393.5,46083,35042,14.9,0,40.7,56.8,20.1,56.3676215,5.677852349
204,438.5,55602,45996,13.8,21.74102096,38.5,55.1,17.4,60.01590352,4.945382324
55,456.5,52662,9870,12.5,0,39.1,54.4,20.1,59.27545284,4.884922499
196,516.3,58392,38066,10.2,0,38.3,60.9,13.6,61.37873754,5.778802962
183,454.6,34964,33048,20.9,0,39.1,51.9,29.1,48.78370003,4.988383217
145,456,33450,19990,22.4,0,47.4,56.2,24.9,52.94398662,5.188559858
51,478.7,54107,7771,11.8,0,41.6,62.2,16.3,59.75090134,5.897114178
99,460.2,38517,16232,18,0,43.1,54.7,23.1,52.12070411,8.040842374
221,434.6,41806,40887,17.6,0,39.3,55.4,22,53.84371029,5.739464467
84,467.1,43783,13936,15.1,0,41.3,53.2,18.6,52.49859629,3.244147157
400,483.4,41015,69699,22.2,0,37.8,48.9,23.2,46.70006452,6.694613026
69,465.5,46874,11554,13.4,0,40.7,64,16.2,60.8137045,8.309915697
55,391.8,39706,10539,16.1,94.88566278,41.4,53.7,21.4,53.36134454,3.337783712
71,463.9,34172,12181,25,0,39.6,47,27.5,50.22233202,7.418397626
3322,454.5,48226,776864,17.9,390.0296577,34.2,46.7,18.7,43.15419198,6.473896102
238,493.2,38183,39187,21.5,0,39.2,46.1,23.8,45.09386234,6.833686191
242,405.2,48014,47887,16.6,0,41.9,54.2,18.7,54.0255049,4.078719282
166,413.3,35580,31981,22.1,0,38.5,50.9,25,50.00414559,5.394016013
92,430.4,43476,16436,15.4,0,41.4,55.7,20.3,55.63873845,5.987850738
295,449.8,41037,80850,23.7,86.58008658,27.2,41.1,14.1,42.72642886,5.395731735
248,418.2,39900,44610,21.7,0,40.7,52.6,20,49.17343949,5.344522968
203,475.3,41423,38194,17.3,0,35.3,47.4,20.2,45.82276746,5.893866899
361,460.2,45710,71875,17.5,0,37.6,51.3,20.5,51.71564856,5.802028117
59,354.7,32215,11183,23.1,0,44.8,53,26.7,47.54685197,5.050505051
18,362.3,56139,3788,12.3,0,40.6,54,13.2,52.76119403,2.822580645
432,445.5,56465,90802,10,0,38.8,59.6,13,60.30637328,5.259595862
152,484.1,35964,25548,24.7,0,39.7,48.8,24.8,48.61986525,6.579419147
187,375.8,35592,41153,27.9,0,39.9,52.7,27.3,51.67824074,6.132732926
257,441.8,42967,44581,15.5,0,40.1,55.2,19.4,52.61361092,2.876060418
73,391.6,49780,21489,13.6,0,31.5,54.9,12.5,53.06008644,4.818560381
41,398.1,35274,7515,23.8,0,40.5,52.4,24.1,48.47890088,6.093432634
2938,474,50507,639242,14.8,231.5242115,35.3,48.5,17.3,45.01341027,5.964154695
336,420.3,58921,76559,9.8,0,38.4,57.5,16.7,58.88459857,4.655824075
312,461,49056,52021,13.9,0,40.5,55,15.5,51.87848198,6.522329921
65,442.3,47391,11661,13.9,0,38.8,60.5,18.2,57.19827586,5.586592179
48,452.6,48831,9304,14.3,0,33.9,47.4,12.1,47.75248103,4.912663755
86,378.2,56067,21559,12.3,0,36.1,52.9,15.4,55.50427582,3.668042182
110,438.3,38966,16005,20.6,0,48.2,56.3,22.3,51.56424581,9.370529328
361,414.8,54089,87572,18.9,148.449276,32.7,44.2,14.8,46.15248227,3.454048815
1976,447.3,65555,401515,9.5,249.0566978,41.3,54.9,13.5,54.65082062,5.072389596
231,465.6,45132,37831,15.4,0,43.9,51.3,19.4,47.38013481,5.997663248
265,449,57517,49600,12,20.16129032,42.9,53.9,17.3,53.97391536,4.225482912
450,453.1,39956,63121,19.8,269.3239968,48.1,49.8,23.9,46.89431397,5.226215645
137,455.6,38155,21630,18.3,0,48.1,59.1,26,54.82982707,6.462075848
170,393.2,40524,22483,17.1,0,54.6,52.8,18.7,46.25023914,2.198107958
929,485.2,52387,175268,13.2,262.4552114,41.9,54.6,19.1,53.44377949,4.744289032
684,419.4,41504,107685,19.9,9.286344431,46.9,52.2,26.6,50.07762912,5.54304604
16,535.4,51978,1859,11.7,0,48.2,59,14.1,52.70108043,3.333333333
47,400.3,41304,7185,16.8,0,51.1,53.9,22.2,51.47665926,8.146487294
39,368.7,36340,7200,21.3,138.8888889,46.2,61.4,20.9,57.70243581,8.321273517
104,431.3,54063,23137,14.6,0,39.4,52.2,18.8,51.39821712,3.453598302
1208,441.7,44835,212567,18.1,103.4967798,42.8,49.7,24.4,47.72838885,5.016549209
91,358.5,42753,22666,21.2,0,39.9,47.9,26.5,48.66094644,6.839517211
640,491.2,37230,84745,20.6,59.000531,47.9,51.4,26.2,48.71549802,6.292364753
383,438,39234,66016,21.9,0,42.5,51.4,24.4,48.21980285,6.075036075
48,397.2,40328,7829,19.3,0,579.6,52.6,25.6,47.56097561,2.9390681
1780,418.7,44976,362895,18.4,286.5842737,39.3,45.5,19.8,44.09409512,4.213583027
342,449.9,40226,47038,18.8,63.77822186,50.4,52.6,23.8,47.15063697,4.839663945
675,477.4,44358,120547,19.1,8.29551959,39.5,52.9,22.7,51.80709534,4.659172628
157,441.7,35094,30380,28.7,32.91639236,36.1,47.3,26.2,49.52362434,8.019109367
1588,470.8,48554,330700,17.7,33.26277593,35.8,49.1,22.9,50.02280782,6.037989127
61,497.6,51839,11190,16.3,0,37.4,56.8,20.3,59.65005302,9.868141217
3314,459.5,53519,790294,18.6,793.3756298,36.5,42.3,18.1,39.73199772,4.640520349
416,469.8,52626,79391,14.1,0,37.4,51.8,18.2,53.57017359,4.832893816
16,587.4,53277,1680,14.2,0,49.8,53.6,18.6,46.76616915,7.333333333
170,432.2,41662,25653,17.5,38.9817955,48,52.2,21.9,50.94115316,5.352172982
348,430.1,44780,76531,18,0,36,48.9,23.7,49.63051429,6.342209979
146,453.6,44841,25790,17.7,0,40,52.7,20.7,51.4017769,5.602240896
66,403.7,51754,10897,10.9,0,45.4,58.7,12.8,52.52586732,5.591612581
301,479.7,62526,71275,8.5,252.5429674,31.1,50.8,7.3,49.25567334,7.89058058
32,405.2,51470,4168,10.9,0,51,64.8,11,55.52788845,7.244318182
106,403.1,86354,35294,6.9,0,32.6,55.3,7.3,50.28968714,9.9672438
169,493.1,34116,28024,24.8,0,41,52.8,31,50.47890956,4.079365079
569,456.6,43602,104425,18,536.2700503,38.1,46.2,19.5,46.1311459,6.237398089
275,426,47369,53213,14.6,1390.637626,39.9,53.6,15.4,54.49160425,5.646027941
625,498.3,39757,98632,21.5,496.7961716,41.8,48.2,22.6,47.3540756,6.447299298
271,489.6,34216,65886,29.9,15.17773123,28,35.1,18.6,40.43404785,2.52476505
269,484.8,52650,45876,8.3,0,41,58.4,14.2,56.72511405,6.028766704
406,427.9,41983,69154,16.1,0,43.9,50.6,18.8,49.99105065,3.534951105
264,500.2,46484,43839,15,0,40.8,54.1,21.5,54.66050864,8.672957238
1721,458.9,58558,376353,14.4,263.0509123,36.4,50.5,16,52.67666271,5.479735318
180,472.5,46177,27811,13.5,71.91399087,44.5,58.4,19.6,59.31461903,5.228870221
215,462.1,50302,38987,11.3,0,41.2,55.2,17.8,55.08958456,4.636217581
814,471.1,42029,135959,18.2,478.0853051,41,48.4,23.2,46.15847762,5.319358009
1007,479.5,62158,201973,11.2,549.578409,39.5,55.1,14.9,55.70496712,5.170612813
231,488.5,49453,41917,13.7,238.5666913,39.3,52.8,20.3,52.02513532,5.682641548
624,445.6,42645,104806,15.9,76.33150774,43.2,51.9,22,50.84943094,6.225449895
214,459.8,41547,36569,18.1,0,41.5,54.8,19.7,54.97035228,5.832147937
276,476.5,39881,42306,15.4,0,42.6,54.7,19.7,51.4608383,6.301190346
7637,485,44138,1255921,19.6,555.7674408,40.4,40.5,22.5,36.95193176,4.879604208
293,439.3,46610,52076,12.2,1152.162224,41.8,56.3,18.7,54.6273664,6.68786915
211,446.9,53026,38352,11.7,0,39.7,53.5,14.7,52.12383009,6.066465257
747,460.5,97802,193013,4.8,554.3668043,37.8,62.7,7.5,65.7719961,4.830467049
495,479.9,49234,75550,13.9,688.2859034,44,50.1,16.7,47.04882425,4.607982234
720,459.5,59921,151408,9.6,475.5362993,39,55.6,16.4,57.35753743,5.968296134
152,441.6,44947,28679,15.8,0,41.1,51.7,24.3,48.78764346,5.708508322
183,359.6,54666,42537,10.5,822.8130804,39.8,59.8,14.3,60.4843182,6.632331301
174,456.2,36675,30142,26.1,33.17629885,41,52.2,24.7,52.41587576,4.807405196
513,441,72264,94102,7.8,159.4015005,44.2,60.7,10,63.62799793,5.939818201
789,437.3,59382,164427,13.2,395.3122054,37.7,51.4,15.2,52.00990932,4.699355673
237,473.4,41940,39258,17.2,0,42.2,50.8,25.7,49.65291169,3.383937884
4146,467.1,48973,807598,17.6,633.9787865,37,42.5,20.4,39.24670876,5.234779851
375,431.9,51498,75573,12.7,899.7922538,39.2,53.4,14.7,50.51314223,5.446216491
150,433.4,45195,31682,19,0,35.4,48.5,19.1,52.43500867,8.008741483
97,445.5,42582,15450,16.9,0,45.9,57.8,19.3,56.7692553,7.156549521
134,386.3,53645,27816,10.2,0,41.2,56.2,14.8,55.8861106,7.870216306
223,427,41611,43026,19.3,0,40.1,51.4,26.7,49.87422137,6.779300818
167,460.6,42374,28491,17.5,35.09880313,42.6,54.7,21.6,53.90357425,5.314639713
126,316.5,50069,43909,12.4,0,30.4,60.3,11.2,70.61095782,7.899124635
311,463.7,47824,58469,13.4,119.7215619,38.8,53.1,19.2,52.89208505,4.663965135
173,445.6,41161,32596,20,0,39.5,49.1,25.8,47.41545335,5.240979721
439,462.5,40148,67347,20,44.54541405,44.3,48.9,21.6,47.93976679,4.806907805
363,514.7,46908,61061,15.1,818.8532779,38.7,52.3,17.2,53.82925436,5.615628604
1415,483.8,58697,229245,8.9,235.5558464,43.2,52.2,13.6,50.14290988,4.694264339
335,445.7,41608,61109,17.5,32.72840334,41.2,50,23.4,49.736708,5.379259802
888,478.5,57308,170570,13.5,480.7410447,39.7,54.3,17.5,55.02568893,5.540748334
252,460.6,50753,45386,17,176.2658088,40.7,54.2,17.1,50.84227468,6.601566473
1653,465.9,52331,305147,14.7,229.3976346,41,49.3,18.5,49.08438337,4.894050891
1813,370.7,42344,433689,20.7,1169.040488,37.7,41.6,22.4,38.87703455,5.157532738
211,449.1,52996,44094,12.6,0,40.2,48.1,16.1,54.0721857,4.909090909
1511,463.1,41316,231900,18.9,12.93661061,43.3,45.1,24.3,42.50741385,4.348522463
395,502.1,42240,65355,21.3,168.3115293,40.4,48.1,23.4,50.3840183,6.933232742
894,460.9,68405,176395,7,317.469316,41.4,58.1,11.2,59.46637981,4.599000327
130,435.2,38081,23257,22.6,42.99780711,42.3,53.8,27.4,52.45655439,5.707001373
219,443.1,52606,40968,8.9,0,40.1,58.7,12.1,57.88052013,6.325515281
562,449.5,51868,104224,10.6,604.4673012,41.4,53.9,16.3,52.19885742,4.84544324
88,423.2,40646,14409,15.7,0,45.6,56.7,20.7,53.31902246,6.140350877
2919,451.9,42994,532258,19.7,760.9091831,39.4,44,22.4,40.44286375,5.362001513
89,438.4,37923,14777,18.1,0,43.9,58.4,24,57.0751634,5.657937278
183,456.7,49846,35074,12.1,0,41.2,57,16.8,59.05511811,4.83615222
480,466.1,41814,86290,19.1,637.3855603,40.3,49.4,25.1,48.00210151,5.739536774
74,355.1,43953,14326,16.3,0,50.2,51.6,21,59.02578797,6.422798809
276,457.1,50345,40877,10.1,0,47.3,57.1,15.4,55.11711088,4.504504505
107,451.2,47358,18976,12.3,158.0944351,41,58.6,19,56.20210417,7.380254154
179,443.4,43341,35985,17.8,0,40,55.4,24.7,55.10159652,4.775349865
282,460.5,54868,56998,13.2,0,39.1,51.3,17.1,57.2713258,5.002432301
156,468,40512,28217,21.9,0,40.8,47.8,31.4,45.32906764,5.373276272
796,458.7,52047,162275,14.2,154.059467,37.6,46.6,15.5,49.96969945,3.908475144
244,471.1,49516,41329,13,0,41.9,55.9,19.6,56.00347308,3.877752218
168,425.6,56519,34042,7.8,0,39.7,63.3,9.1,63.98957775,6.184443536
703,445.1,41948,121707,15.9,188.9784482,41.3,48.2,21.1,47.42739538,4.974134501
401,449.2,42466,77170,19.2,699.7537903,40.6,49.2,24.8,51.75634087,4.967320261
316,424.2,46447,59679,14.5,83.7815647,41.3,51,16.9,49.51324812,5.511627907
476,503,37625,76825,27.2,767.9791734,39.5,47.1,29,46.52861953,4.764332654
297,439,45003,55610,17.5,629.3832045,39,49.7,18,50.84037515,4.557619009
217,405,50774,48901,10.7,163.5958365,38.9,57.4,14,57.14516912,6.776406036
2131,449.3,47745,375165,14.9,389.162102,41.8,49.4,18.6,48.35389168,5.285174738
2841,437.5,50453,541968,13.4,282.3044903,40.7,47.2,17.6,45.07926592,4.582141722
1343,478.5,43160,203751,17.2,0,43.6,48.8,22.3,45.65002073,4.660949114
527,447.1,46128,92916,13.4,32.28722717,41,54.9,18.3,53.99449786,5.283776996
221,459.6,69900,54277,7.7,0,38.1,56.7,12.8,61.70039607,5.668411867
156,425,49565,28562,10.1,0,41.5,56.3,18,55.08586526,4.894094994
72,456.6,37633,13048,23.7,0,41,54.3,27.4,54.02644231,8.863399374
938,444.5,72973,224469,5.8,280.6623632,38.7,60.3,9.6,63.68381424,4.708366736
387,475.4,45048,61112,15.7,1358.162063,43.6,53.3,20.7,51.77545484,5.009079903
554,417.8,50106,116063,13.9,241.2482876,38.8,56.1,15.2,57.62759264,6.420871739
193,412.3,42214,37120,14.2,0,41.6,52,18.7,50.02640264,7.598197038
533,403,54996,129730,13.5,262.0827873,34.8,48.2,10.6,49.45798646,4.528947447
129,461.7,47905,22243,10,0,42,55.9,12.4,52.26761016,4.962066844
100,416.8,31386,22004,27.2,0,37,52.7,29.4,51.95783133,5.336200156
36,447.6,51885,5868,16.6,0,44.7,50.4,16.4,53.13706564,4.431818182
76,442,35910,13793,21.8,0,40.7,52.4,25.4,52.11106885,5.756929638
24,360.4,56664,5427,10.5,0,41.5,62.2,12.9,60.68418443,2.923473775
98,415.1,46625,23768,15,0,34.7,45.8,15.8,50.65693431,3.754407799
62,472.6,44309,9833,18.4,0,41.1,50.8,19.9,49.58100559,2.110199297
221,440.5,38187,44884,19.1,0,37.1,50.1,19.6,47.96176046,7.559938128
145,429.4,39933,29343,23.5,0,37,48,21.4,49.32366203,5.189317106
53,457.3,39743,6856,15.8,0,52.2,57.3,21.3,49.3835172,4.545454545
149,444.1,44010,25775,16.8,38.79728419,41,52.7,20.9,52.25680132,5.246743717
2147,429.2,66315,574326,12.5,208.9405669,36.1,53,13.9,53.19678723,5.186880244
11,375,33387,1358,23.3,0,56.5,60.6,11.9,54.69448584,1.754385965
512,466.8,52903,102659,15.4,301.9706017,38.2,51.9,18.9,54.91358025,4.397120317
590,470.7,60179,102295,10.8,332.3720612,42.8,55.7,11.4,58.10750661,4.47016211
7913,501.2,52385,1230459,13.1,624.1573267,40.9,45.4,14,42.45865232,5.044224477
442,458.5,44326,67052,13.8,74.56899123,45.6,53.9,16.9,51.86159024,4.390138408
1133,476.1,51041,168871,11.7,183.5720757,44.8,51,16.8,49.70961344,4.491424455
330,479.9,46890,48586,13.6,0,45,57.2,15.3,54.965,4.585306863
2265,472.4,55936,415271,14.3,156.5242938,39.7,49.6,17.4,51.44737529,5.334555643
819,478.4,43343,125593,15,39.81113597,42.8,50,18.7,48.79100208,4.508674734
406,484.4,47242,61281,12.9,522.1846902,44.1,54.1,17.4,53.48140241,5.284901395
3803,500.5,77823,627367,6.6,79.6981671,43,55.5,9.3,58.12001751,4.681322269
1149,509.4,60851,186818,8.9,48.17522937,42.7,55.6,11.2,55.70519362,4.004308281
979,488.3,42703,136411,15.3,109.9618066,44.4,48.5,17.6,47.39754633,4.763561711
43,560.4,40257,4732,14.2,0,49.9,48.7,18.2,45.52995392,3.510758777
439,496.1,49252,63960,13,78.17385866,45,52.7,17.4,52.33971496,3.33234816
626,442.6,51573,160580,17.9,392.3278117,30.3,40.6,8.4,46.5592921,3.704047746
2688,486.2,85613,515939,7.3,149.2424492,40.1,55.9,9.3,58.35469775,4.919274098
248,495.4,43202,39498,15.1,0,40.3,50,16.8,50.2590019,4.792232199
516,473.5,40230,80994,16.5,0,43.9,52.1,21.8,52.7799604,4.179907113
232,486,44224,39441,17.4,0,38.1,48.4,17.4,51.3855096,4.785376874
424,515.2,46938,66672,14.3,14.9988001,40.1,48.1,13.7,50.05348002,4.087548063
551,481.8,43969,86484,14.9,0,42.4,52.2,19.5,52.06362979,6.020996295
1332,460.3,62692,246338,9.1,105.5460384,40.8,52.6,10.5,52.66284523,4.691477538
1417,457.2,52967,272983,13.4,725.3198917,39.6,47.3,16.2,44.48062907,5.830835519
3395,525.2,62867,563894,11,150.73755,38.9,45.9,14.6,47.82182055,5.543922993
235,514.8,46965,30872,10.5,0,46.4,53.2,16,50.40018121,4.291640077
1566,478.6,45476,278045,16.4,39.56194141,38.8,46.7,19.4,46.11948988,4.900650039
932,495.6,36902,133628,20.2,97.28500015,44.2,47.6,21.9,46.48961979,5.078382982
49,462.1,37794,7410,21.9,134.9527665,43.3,33.3,18.9,49.84802432,1.652892562
877,468.5,50434,153638,11.9,97.63209623,40.9,55,13.3,55.20744408,4.842223007
88,458.9,48084,14629,13.3,0,43.2,58,17.9,56.30872483,4.970178926
240,501.4,49897,37519,16.5,0,502.8,49.4,17,50.06252605,6.037875061
248,423.7,44531,45668,15.1,0,42.5,51.4,17.9,55.09433962,6.823375775
457,425.1,42611,86966,17,34.49623991,38.9,48.4,13.4,50.63562432,4.149417541
304,495.4,43810,44430,13.3,0,43.6,54.5,17.9,52.48119487,6.414368185
124,393.5,48944,24737,12.3,0,43,56.3,13.1,56.92536996,5.734425605
1370,482.8,45098,211917,15.4,127.4083721,42.3,45.8,17,44.9714232,3.545136747
2737,449.7,57369,536624,10.5,59.63207013,38.4,54.8,15,56.86991246,6.226276831
620,493.6,44903,88082,13.2,1146.658795,44.4,50.7,20.3,49.46891725,4.727253413
814,471.7,53861,137067,10.9,0,41.1,52.4,15.3,52.66229169,5.989257845
2001,484,58283,360685,12.8,177.4401486,39.5,48.3,17.9,48.97730666,5.408652416
2153,500,44222,318449,15.8,191.5534356,42.9,45.5,18.1,44.48372859,5.103967071
766,521.8,45211,116048,16,146.4911071,496.8,49,17.2,49.22668061,5.48894218
260,465.6,44723,42412,16.6,0,42.4,45.4,18.5,44.56321839,6.282490875
792,501.6,43559,114234,14.6,122.5554563,43.8,49.3,19.2,49.96487068,4.669101054
304,485.2,40957,46500,16.3,559.1397849,43.5,53,18.9,51.21833921,5.671766053
866,460.1,59492,166397,13.3,24.03889493,41.8,49.6,16,55.42524041,4.318836947
4749,490.8,79576,819264,7.1,239.2391219,41.1,53.9,9.6,55.17681595,4.502231194
124,490.8,54547,18557,11.2,0,42.9,49.9,13.7,49.33604336,3.59080341
1931,525.7,61510,300813,10,365.6756856,41.8,51.4,13.5,53.42832095,4.239802406
620,471.7,40429,93246,15.9,0,525.6,50.4,16,47.97968254,5.713833492
259,479.1,54920,45685,8.7,0,42.1,57,11.1,56.83162842,5.221317107
8236,533.5,39037,1567442,25.8,742.6112099,33.7,29.3,27.6,27.45994321,5.282605624
346,461.5,58375,55949,10.6,71.49368175,46,55,16.1,58.48474785,5.499704317
114,456.5,40323,17093,14.3,0,45.8,52.1,18.5,52.76653171,6.77146312
992,485.5,43169,144590,13.5,186.7349056,43.8,48.7,16.6,48.41855381,4.779878415
224,474.1,49117,40444,13.1,0,39.3,52.7,13.4,58.05982551,4.883318928
494,455.9,45706,75522,13.5,39.72352427,45.3,54,16.4,56.74735811,5.627676205
59,538.3,44191,6328,14.4,0,51.8,52.1,13.8,51.59235669,4.06278855
258,434.1,49552,41666,12.8,0,46.4,55.5,14.9,54.01155144,4.344746163
275,487.3,47360,41877,16.3,0,43,52.2,16.9,52.9829631,6.635885322
227,432.9,47996,44954,13.4,578.3689994,38.6,47,13.8,54.37784929,4.739182301
369,487.7,43810,53119,16.2,244.7335228,45.4,53.5,20.3,51.88666456,5.128205128
295,496.8,44651,40396,14.1,0,46.2,54.4,14.8,52.2468299,5.312538077
1356,482.5,55796,208261,10.7,96.03334278,44.2,52.5,13.3,52.24566809,4.918324654
321,437.2,48663,51198,13.9,39.06402594,46.5,51.1,19,54.49083187,3.971422568
2461,476.6,53536,357956,10.1,61.46006772,46.1,53.7,14.7,52.32680439,3.999144854
189,529.8,55882,27800,10.9,0,43.1,51.1,16.2,51.57885074,4.585798817
2467,488.7,58471,442867,10.2,85.80454177,40.7,52.6,15,53.48532996,4.689714916
306,473.2,68246,49084,8,0,43.9,52.4,11.1,54.26127527,4.448655477
1034,491.8,61923,164801,9.3,42.47547042,43.5,49.7,12.6,47.69150052,5.275186191
518,469,69203,82423,9.5,72.79521493,43.9,49.7,11,46.93813131,2.872784433
3257,473.3,47278,633473,18.3,336.2416393,37.1,40.8,21.3,39.9972302,4.931882987
765,492.3,70705,126517,10.4,23.7122284,519.6,51.1,11.2,52.94568639,3.127101547
143,430.9,35525,24932,21.4,0,43.3,46.8,25.9,47.29969706,5.823783581
753,384.5,48537,165829,16.6,6.03030833,40.9,49.9,18.8,48.94044517,5.643104513
49,400.8,25530,9433,39.9,0,38.7,30,30.1,30.93245666,8.631578947
1069,475.4,43124,194692,16.7,246.5432581,40.5,52,19.8,51.34890507,6.330413359
91,437.6,30349,14880,29.7,0,40.3,37.7,28.5,38.23678433,10.6400665
101,396.7,32205,21725,27,0,39.8,42.8,25.6,41.15532119,5.998421468
1000,442.1,55427,179589,12.9,66.81923726,42.8,54.4,16.8,54.08412277,6.319887594
786,462,52436,202786,13.7,0,35.3,49.7,16.2,51.73547733,5.662000797
93,468,41209,14781,19.3,0,45.3,53.3,18.9,47.81021898,5.434122647
1760,462.1,52752,389262,16.8,452.1376348,36.5,42.5,15,41.13486198,4.774692859
312,494.2,38947,56194,22.3,88.9774709,38.8,47.2,24.5,46.51854017,6.428359096
197,492.8,37537,32267,22.5,0,41.2,41.2,26.7,41.38070246,6.686006354
228,428.1,34949,46017,26.4,0,41,47.8,26.8,45.68305405,4.348232654
217,479.9,32268,33775,27,0,42.8,42.9,25.9,43.203404,6.157946416
225,459,35558,37731,23,53.00681138,41.7,42.9,29,40.72695275,6.084407972
369,451.3,35640,67548,25.3,0,40.8,45.1,24.6,43.48336299,6.092582124
150,425.3,30516,31234,29.8,0,37.8,41.4,32.1,41.0109432,5.525568182
618,483.1,56388,152478,12.8,6.558323168,35.8,51,15,52.13282937,5.952316445
123,399.8,44129,26514,17.5,0,42.1,45.6,19.2,48.85664028,3.616566206
138,460.4,35490,22747,23.1,0,44.1,45,26.3,44.17130145,2.009646302
677,443.6,42232,138900,19.5,158.387329,38.2,46.1,23.5,45.28902347,5.663639027
431,484.6,44283,61298,19.6,81.56872981,47.5,50.1,21.4,49.90664517,5.073731567
2249,461.7,49659,491863,14.7,1099.899769,37.7,50.5,16.5,50.47870034,5.183355631
92,389.4,48140,17460,16.2,0,42.6,54.9,15.8,54.53835338,3.641536273
250,419.3,53203,45463,14,0,44.1,55.9,19.2,55.08264463,4.124513619
161,412.1,47227,40522,16,0,35.6,45.8,19,50.6545659,4.685714286
107,435.6,46705,21895,17.3,0,38.1,54.3,18.6,52.47685764,7.088398929
76,403.3,40796,13557,16.3,0,43.5,52.2,16.9,50.46463114,6.774774775
